Draw Date,Multiplier,Winning Numbers,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6
10/28/2023,2,14 24 50 59 64 02,14,24,50,59,64,2
10/25/2023,2,25 27 41 53 68 02,25,27,41,53,68,2
10/23/2023,5,18 21 25 46 64 21,18,21,25,46,64,21
10/21/2023,2,06 15 24 67 68 11,6,15,24,67,68,11
10/18/2023,2,01 04 13 35 58 24,1,4,13,35,58,24
10/16/2023,3,02 27 31 44 64 18,2,27,31,44,64,18
10/14/2023,2,14 16 42 48 64 14,14,16,42,48,64,14
10/11/2023,2,22 24 40 52 64 10,22,24,40,52,64,10
10/9/2023,3,16 34 46 55 67 14,16,34,46,55,67,14
10/7/2023,3,47 54 57 60 65 19,47,54,57,60,65,19
10/4/2023,2,09 35 54 63 64 01,9,35,54,63,64,1
10/2/2023,2,12 26 27 43 47 05,12,26,27,43,47,5
9/30/2023,2,19 30 37 44 46 22,19,30,37,44,46,22
9/27/2023,3,01 07 46 47 63 07,1,7,46,47,63,7
9/25/2023,2,10 12 22 36 50 04,10,12,22,36,50,4
9/23/2023,2,01 12 20 33 66 21,1,12,20,33,66,21
9/20/2023,3,16 27 59 62 63 23,16,27,59,62,63,23
9/18/2023,3,02 21 26 40 42 09,2,21,26,40,42,9
9/16/2023,2,08 11 19 24 46 05,8,11,19,24,46,5
9/13/2023,3,22 30 37 44 45 18,22,30,37,44,45,18
9/11/2023,2,09 25 27 53 66 05,9,25,27,53,66,5
9/9/2023,2,11 19 29 63 68 25,11,19,29,63,68,25
9/6/2023,3,09 14 20 23 63 01,9,14,20,23,63,1
9/4/2023,3,01 26 32 46 51 13,1,26,32,46,51,13
9/2/2023,4,25 38 42 66 67 19,25,38,42,66,67,19
8/30/2023,2,04 13 35 61 69 04,4,13,35,61,69,4
8/28/2023,2,04 06 25 55 68 26,4,6,25,55,68,26
8/26/2023,3,20 22 26 28 63 05,20,22,26,28,63,5
8/23/2023,2,25 30 32 33 55 20,25,30,32,33,55,20
8/21/2023,2,03 04 12 22 28 16,3,4,12,22,28,16
8/19/2023,2,01 25 27 38 62 13,1,25,27,38,62,13
8/16/2023,2,09 11 17 19 55 01,9,11,17,19,55,1
8/14/2023,2,32 34 37 39 47 03,32,34,37,39,47,3
8/12/2023,2,19 21 37 50 65 26,19,21,37,50,65,26
8/9/2023,2,10 15 21 67 69 03,10,15,21,67,69,3
8/7/2023,2,06 13 20 35 54 22,6,13,20,35,54,22
8/5/2023,2,18 42 44 62 65 23,18,42,44,62,65,23
8/2/2023,2,23 24 33 51 64 05,23,24,33,51,64,5
7/31/2023,2,02 11 48 58 65 13,2,11,48,58,65,13
7/29/2023,3,10 25 27 34 38 02,10,25,27,34,38,2
7/26/2023,2,03 16 40 48 60 14,3,16,40,48,60,14
7/24/2023,2,03 04 12 28 49 25,3,4,12,28,49,25
7/22/2023,2,25 27 36 37 63 07,25,27,36,37,63,7
7/19/2023,2,07 10 11 13 24 24,7,10,11,13,24,24
7/17/2023,4,05 08 09 17 41 21,5,8,9,17,41,21
7/15/2023,2,02 09 43 55 57 18,2,9,43,55,57,18
7/12/2023,3,23 35 45 66 67 20,23,35,45,66,67,20
7/10/2023,2,02 24 34 53 58 13,2,24,34,53,58,13
7/8/2023,2,07 23 24 32 43 18,7,23,24,32,43,18
7/5/2023,2,17 24 48 62 68 23,17,24,48,62,68,23
7/3/2023,3,15 26 31 38 61 03,15,26,31,38,61,3
7/1/2023,2,04 17 35 49 61 08,4,17,35,49,61,8
6/28/2023,5,19 25 34 57 68 04,19,25,34,57,68,4
6/26/2023,4,06 28 39 43 54 12,6,28,39,43,54,12
6/24/2023,3,02 38 44 50 62 19,2,38,44,50,62,19
6/21/2023,2,05 11 33 35 63 14,5,11,33,35,63,14
6/19/2023,3,36 39 52 57 69 01,36,39,52,57,69,1
6/17/2023,2,02 12 45 61 64 26,2,12,45,61,64,26
6/14/2023,2,03 20 36 42 64 04,3,20,36,42,64,4
6/12/2023,2,02 03 16 23 68 07,2,3,16,23,68,7
6/10/2023,3,21 32 42 46 50 04,21,32,42,46,50,4
6/7/2023,5,16 21 29 53 66 02,16,21,29,53,66,2
6/5/2023,2,02 31 45 46 49 20,2,31,45,46,49,20
6/3/2023,2,15 45 64 67 68 18,15,45,64,67,68,18
5/31/2023,3,02 04 54 61 62 14,2,4,54,61,62,14
5/29/2023,2,21 33 35 62 64 24,21,33,35,62,64,24
5/27/2023,2,24 38 39 48 56 04,24,38,39,48,56,4
5/24/2023,3,12 21 44 50 58 26,12,21,44,50,58,26
5/22/2023,4,09 38 48 52 68 25,9,38,48,52,68,25
5/20/2023,2,17 23 32 38 63 23,17,23,32,38,63,23
5/17/2023,2,18 34 37 45 51 14,18,34,37,45,51,14
5/15/2023,2,01 26 28 55 58 25,1,26,28,55,58,25
5/13/2023,2,03 15 20 23 46 11,3,15,20,23,46,11
5/10/2023,10,21 24 33 55 69 03,21,24,33,55,69,3
5/8/2023,2,15 20 33 36 43 12,15,20,33,36,43,12
5/6/2023,2,31 39 47 51 53 06,31,39,47,51,53,6
5/3/2023,3,21 26 30 45 47 23,21,26,30,45,47,23
5/1/2023,3,03 38 55 61 66 01,3,38,55,61,66,1
4/29/2023,2,16 53 54 57 65 08,16,53,54,57,65,8
4/26/2023,2,02 15 30 35 49 06,2,15,30,35,49,6
4/24/2023,2,19 21 55 66 68 03,19,21,55,66,68,3
4/22/2023,2,17 36 47 63 68 25,17,36,47,63,68,25
4/19/2023,3,04 11 21 38 64 11,4,11,21,38,64,11
4/17/2023,3,23 25 35 63 64 25,23,25,35,63,64,25
4/15/2023,3,01 33 34 56 59 18,1,33,34,56,59,18
4/12/2023,2,09 36 41 44 59 04,9,36,41,44,59,4
4/10/2023,2,09 10 36 46 52 14,9,10,36,46,52,14
4/8/2023,3,11 22 24 51 60 18,11,22,24,51,60,18
4/5/2023,2,03 05 09 42 52 11,3,5,9,42,52,11
4/3/2023,2,16 30 31 54 68 01,16,30,31,54,68,1
4/1/2023,4,11 19 21 29 52 17,11,19,21,29,52,17
3/29/2023,3,04 09 24 46 66 07,4,9,24,46,66,7
3/27/2023,3,19 26 36 43 58 14,19,26,36,43,58,14
3/25/2023,2,15 17 18 47 57 19,15,17,18,47,57,19
3/22/2023,2,27 28 37 50 57 05,27,28,37,50,57,5
3/20/2023,2,01 27 32 47 67 14,1,27,32,47,67,14
3/18/2023,2,14 20 30 54 69 11,14,20,30,54,69,11
3/15/2023,2,16 18 33 37 50 08,16,18,33,37,50,8
3/13/2023,2,03 10 24 46 63 04,3,10,24,46,63,4
3/11/2023,2,11 20 33 43 58 24,11,20,33,43,58,24
3/8/2023,3,26 27 43 61 69 04,26,27,43,61,69,4
3/6/2023,3,02 13 29 58 69 04,2,13,29,58,69,4
3/4/2023,3,10 16 18 40 66 16,10,16,18,40,66,16
3/1/2023,2,02 09 28 36 53 04,2,9,28,36,53,4
2/27/2023,2,16 28 49 51 55 23,16,28,49,51,55,23
2/25/2023,3,11 24 58 66 67 26,11,24,58,66,67,26
2/22/2023,2,11 19 39 44 65 07,11,19,39,44,65,7
2/20/2023,3,03 17 26 38 54 15,3,17,26,38,54,15
2/18/2023,4,08 21 31 32 37 23,8,21,31,32,37,23
2/15/2023,4,31 32 54 60 63 12,31,32,54,60,63,12
2/13/2023,2,17 26 37 61 65 02,17,26,37,61,65,2
2/11/2023,4,10 23 30 54 65 11,10,23,30,54,65,11
2/8/2023,2,52 58 59 64 66 09,52,58,59,64,66,9
2/6/2023,2,05 11 22 23 69 07,5,11,22,23,69,7
2/4/2023,2,02 08 15 19 58 10,2,8,15,19,58,10
2/1/2023,2,31 43 58 59 66 09,31,43,58,59,66,9
1/30/2023,2,01 04 12 36 49 05,1,4,12,36,49,5
1/28/2023,4,02 18 23 27 47 15,2,18,23,27,47,15
1/25/2023,2,09 17 20 38 40 18,9,17,20,38,40,18
1/23/2023,3,12 31 47 58 60 23,12,31,47,58,60,23
1/21/2023,4,05 14 19 46 64 22,5,14,19,46,64,22
1/18/2023,3,06 15 22 42 47 26,6,15,22,42,47,26
1/16/2023,3,04 14 33 39 61 03,4,14,33,39,61,3
1/14/2023,2,24 26 39 47 57 23,24,26,39,47,57,23
1/11/2023,3,04 08 46 47 48 05,4,8,46,47,48,5
1/9/2023,3,18 43 48 60 69 14,18,43,48,60,69,14
1/7/2023,3,35 36 44 45 67 14,35,36,44,45,67,14
1/4/2023,3,12 32 56 67 68 26,12,32,56,67,68,26
1/2/2023,2,07 09 12 31 62 22,7,9,12,31,62,22
12/31/2022,3,18 37 44 50 64 11,18,37,44,50,64,11
12/28/2022,2,26 32 38 45 56 01,26,32,38,45,56,1
12/26/2022,3,17 41 47 60 61 17,17,41,47,60,61,17
12/24/2022,3,17 37 46 54 67 08,17,37,46,54,67,8
12/21/2022,2,12 15 24 34 59 14,12,15,24,34,59,14
12/19/2022,5,07 37 55 65 67 12,7,37,55,65,67,12
12/17/2022,2,33 56 64 66 68 12,33,56,64,66,68,12
12/14/2022,10,36 51 59 66 68 25,36,51,59,66,68,25
12/12/2022,4,16 31 50 55 61 09,16,31,50,55,61,9
12/10/2022,2,09 23 47 49 68 19,9,23,47,49,68,19
12/7/2022,2,06 28 44 59 61 21,6,28,44,59,61,21
12/5/2022,2,35 45 47 54 55 14,35,45,47,54,55,14
12/3/2022,4,06 13 33 36 37 07,6,13,33,36,37,7
11/30/2022,2,04 19 24 47 66 10,4,19,24,47,66,10
11/28/2022,2,29 30 32 48 50 20,29,30,32,48,50,20
11/26/2022,10,15 30 47 50 51 03,15,30,47,50,51,3
11/23/2022,2,01 02 31 39 66 25,1,2,31,39,66,25
11/21/2022,2,01 06 40 51 67 02,1,6,40,51,67,2
11/19/2022,3,07 28 62 63 64 10,7,28,62,63,64,10
11/16/2022,2,28 34 51 53 56 11,28,34,51,53,56,11
11/14/2022,2,19 35 53 54 67 21,19,35,53,54,67,21
11/12/2022,4,16 20 44 57 58 06,16,20,44,57,58,6
11/9/2022,2,07 14 24 30 56 07,7,14,24,30,56,7
11/5/2022,3,28 45 53 56 69 20,28,45,53,56,69,20
11/2/2022,2,02 11 22 35 60 23,2,11,22,35,60,23
10/31/2022,3,13 19 36 39 59 13,13,19,36,39,59,13
10/29/2022,3,19 31 40 46 57 23,19,31,40,46,57,23
10/26/2022,2,19 36 37 46 56 24,19,36,37,46,56,24
10/24/2022,4,18 23 35 45 54 16,18,23,35,45,54,16
10/22/2022,2,19 25 48 55 60 18,19,25,48,55,60,18
10/19/2022,3,06 08 15 27 42 10,6,8,15,27,42,10
10/17/2022,3,19 30 36 46 60 25,19,30,36,46,60,25
10/15/2022,5,32 37 40 58 62 15,32,37,40,58,62,15
10/12/2022,5,14 30 41 42 59 06,14,30,41,42,59,6
10/10/2022,2,03 06 11 17 22 11,3,6,11,17,22,11
10/8/2022,2,13 43 53 60 68 05,13,43,53,60,68,5
10/5/2022,2,26 30 33 37 62 06,26,30,33,37,62,6
10/3/2022,4,02 16 22 55 63 22,2,16,22,55,63,22
10/1/2022,2,08 21 22 65 69 26,8,21,22,65,69,26
9/28/2022,3,06 10 24 33 67 11,6,10,24,33,67,11
9/26/2022,3,13 20 31 33 59 20,13,20,31,33,59,20
9/24/2022,2,03 09 21 24 29 14,3,9,21,24,29,14
9/21/2022,2,06 33 34 45 54 07,6,33,34,45,54,7
9/19/2022,2,07 15 36 46 67 07,7,15,36,46,67,7
9/17/2022,3,05 25 36 51 61 01,5,25,36,51,61,1
9/14/2022,3,09 10 20 22 52 25,9,10,20,22,52,25
9/12/2022,3,06 14 16 34 66 25,6,14,16,34,66,25
9/10/2022,2,38 42 56 68 69 04,38,42,56,68,69,4
9/7/2022,3,03 16 30 33 36 20,3,16,30,33,36,20
9/5/2022,2,04 07 32 55 64 25,4,7,32,55,64,25
9/3/2022,2,18 27 49 65 69 09,18,27,49,65,69,9
8/31/2022,2,07 08 19 24 28 01,7,8,19,24,28,1
8/29/2022,3,13 36 43 61 69 18,13,36,43,61,69,18
8/27/2022,3,02 18 56 60 65 14,2,18,56,60,65,14
8/24/2022,4,06 24 35 37 44 22,6,24,35,37,44,22
8/22/2022,2,12 27 34 55 67 09,12,27,34,55,67,9
8/20/2022,2,05 09 11 16 66 07,5,9,11,16,66,7
8/17/2022,2,23 28 41 50 55 24,23,28,41,50,55,24
8/15/2022,2,20 24 47 50 63 05,20,24,47,50,63,5
8/13/2022,10,19 24 35 43 62 02,19,24,35,43,62,2
8/10/2022,2,29 44 59 61 68 19,29,44,59,61,68,19
8/8/2022,2,32 45 51 57 58 12,32,45,51,57,58,12
8/6/2022,2,08 15 46 56 68 03,8,15,46,56,68,3
8/3/2022,2,09 21 56 57 66 11,9,21,56,57,66,11
8/1/2022,3,15 21 31 36 65 16,15,21,31,36,65,16
7/30/2022,3,04 17 57 58 68 12,4,17,57,58,68,12
7/27/2022,2,01 25 44 55 57 26,1,25,44,55,57,26
7/25/2022,2,25 37 38 39 65 05,25,37,38,39,65,5
7/23/2022,3,39 41 54 59 62 12,39,41,54,59,62,12
7/20/2022,3,10 20 23 49 65 22,10,20,23,49,65,22
7/18/2022,3,14 34 36 50 58 05,14,34,36,50,58,5
7/16/2022,2,03 18 23 32 57 21,3,18,23,32,57,21
7/13/2022,2,22 23 36 47 63 02,22,23,36,47,63,2
7/11/2022,2,04 26 34 37 52 09,4,26,34,37,52,9
7/9/2022,3,14 22 42 46 52 24,14,22,42,46,52,24
7/6/2022,2,32 36 49 62 69 13,32,36,49,62,69,13
7/4/2022,2,15 16 24 31 56 04,15,16,24,31,56,4
7/2/2022,3,09 10 37 59 62 26,9,10,37,59,62,26
6/29/2022,3,08 40 49 58 63 14,8,40,49,58,63,14
6/27/2022,3,11 13 18 30 37 16,11,13,18,30,37,16
6/25/2022,3,06 12 20 27 32 04,6,12,20,27,32,4
6/22/2022,3,06 10 31 48 56 12,6,10,31,48,56,12
6/20/2022,2,03 44 61 63 69 13,3,44,61,63,69,13
6/18/2022,2,10 19 40 45 58 25,10,19,40,45,58,25
6/15/2022,2,19 28 41 42 51 07,19,28,41,42,51,7
6/13/2022,2,02 27 42 44 51 25,2,27,42,44,51,25
6/11/2022,2,18 20 26 53 69 05,18,20,26,53,69,5
6/8/2022,4,22 39 43 62 64 07,22,39,43,62,64,7
6/6/2022,2,02 10 35 44 46 04,2,10,35,44,46,4
6/4/2022,3,14 16 36 52 60 16,14,16,36,52,60,16
6/1/2022,2,11 41 56 57 63 02,11,41,56,57,63,2
5/30/2022,2,27 28 51 68 69 22,27,28,51,68,69,22
5/28/2022,2,02 39 50 61 66 15,2,39,50,61,66,15
5/25/2022,3,19 28 39 42 57 17,19,28,39,42,57,17
5/23/2022,2,01 33 37 39 42 26,1,33,37,39,42,26
5/21/2022,2,14 15 25 52 58 11,14,15,25,52,58,11
5/18/2022,3,40 41 58 64 65 17,40,41,58,64,65,17
5/16/2022,2,07 15 22 36 64 13,7,15,22,36,64,13
5/14/2022,3,06 40 41 45 52 09,6,40,41,45,52,9
5/11/2022,2,05 07 61 63 69 18,5,7,61,63,69,18
5/9/2022,2,18 30 35 52 56 05,18,30,35,52,56,5
5/7/2022,2,04 05 06 28 67 10,4,5,6,28,67,10
5/4/2022,2,37 39 55 63 69 23,37,39,55,63,69,23
5/2/2022,5,18 27 33 39 44 08,18,27,33,39,44,8
4/30/2022,3,14 21 37 44 63 01,14,21,37,44,63,1
4/27/2022,2,11 36 61 62 68 04,11,36,61,62,68,4
4/25/2022,2,12 18 20 39 61 10,12,18,20,39,61,10
4/23/2022,3,10 39 47 49 56 08,10,39,47,49,56,8
4/20/2022,2,20 30 45 55 56 14,20,30,45,55,56,14
4/18/2022,2,08 33 55 59 62 18,8,33,55,59,62,18
4/16/2022,5,15 21 32 62 65 26,15,21,32,62,65,26
4/13/2022,2,14 16 41 63 68 26,14,16,41,63,68,26
4/11/2022,2,05 07 24 31 34 04,5,7,24,31,34,4
4/6/2022,3,06 42 45 47 64 18,6,42,45,47,64,18
4/4/2022,2,02 32 39 46 69 06,2,32,39,46,69,6
4/2/2022,2,06 28 47 58 59 18,6,28,47,58,59,18
3/30/2022,3,03 07 21 31 37 11,3,7,21,31,37,11
3/28/2022,2,11 18 39 58 62 03,11,18,39,58,62,3
3/26/2022,3,02 10 50 59 61 06,2,10,50,59,61,6
3/23/2022,2,31 32 37 38 48 24,31,32,37,38,48,24
3/21/2022,2,01 15 26 63 65 16,1,15,26,63,65,16
3/19/2022,2,08 09 18 48 52 06,8,9,18,48,52,6
3/16/2022,2,03 28 34 35 58 17,3,28,34,35,58,17
3/14/2022,3,21 28 32 44 49 06,21,28,32,44,49,6
3/9/2022,2,13 22 34 51 67 10,13,22,34,51,67,10
3/7/2022,3,10 43 55 59 67 02,10,43,55,59,67,2
3/5/2022,2,08 23 37 52 63 13,8,23,37,52,63,13
3/2/2022,2,19 37 48 61 63 12,19,37,48,61,63,12
2/28/2022,2,07 21 39 47 55 19,7,21,39,47,55,19
2/26/2022,3,15 32 36 48 64 19,15,32,36,48,64,19
2/23/2022,2,06 17 21 35 64 18,6,17,21,35,64,18
2/21/2022,2,02 36 37 45 69 03,2,36,37,45,69,3
2/19/2022,2,03 10 15 33 42 11,3,10,15,33,42,11
2/16/2022,2,22 30 40 42 48 16,22,30,40,42,48,16
2/14/2022,3,16 25 27 49 55 17,16,25,27,49,55,17
2/12/2022,3,08 10 21 41 62 07,8,10,21,41,62,7
2/9/2022,2,02 17 33 51 63 26,2,17,33,51,63,26
2/7/2022,3,05 15 38 47 65 10,5,15,38,47,65,10
2/5/2022,2,05 16 27 39 61 24,5,16,27,39,61,24
2/2/2022,3,18 29 33 62 63 15,18,29,33,62,63,15
1/31/2022,3,10 15 51 61 69 14,10,15,51,61,69,14
1/29/2022,4,02 15 38 54 65 11,2,15,38,54,65,11
1/26/2022,3,04 11 38 49 69 16,4,11,38,49,69,16
1/24/2022,3,11 29 30 47 53 16,11,29,30,47,53,16
1/22/2022,2,08 14 33 36 67 17,8,14,33,36,67,17
1/19/2022,3,11 15 43 55 61 10,11,15,43,55,61,10
1/17/2022,2,09 24 35 46 65 22,9,24,35,46,65,22
1/15/2022,2,03 18 37 51 59 13,3,18,37,51,59,13
1/12/2022,4,12 21 22 30 33 24,12,21,22,30,33,24
1/10/2022,2,14 17 18 21 27 09,14,17,18,21,27,9
1/8/2022,10,20 21 36 60 65 13,20,21,36,60,65,13
1/5/2022,2,06 14 25 33 46 17,6,14,25,33,46,17
1/3/2022,2,02 13 32 33 48 22,2,13,32,33,48,22
1/1/2022,2,06 12 39 48 50 07,6,12,39,48,50,7
12/29/2021,2,02 06 09 33 39 11,2,6,9,33,39,11
12/27/2021,2,36 38 45 62 64 19,36,38,45,62,64,19
12/25/2021,3,27 29 45 55 58 02,27,29,45,55,58,2
12/22/2021,2,07 16 19 48 68 15,7,16,19,48,68,15
12/20/2021,4,02 13 23 34 66 02,2,13,23,34,66,2
12/18/2021,2,02 06 24 51 61 01,2,6,24,51,61,1
12/15/2021,3,19 20 40 42 59 15,19,20,40,42,59,15
12/13/2021,2,10 30 37 53 59 04,10,30,37,53,59,4
12/11/2021,2,03 25 44 53 64 10,3,25,44,53,64,10
12/8/2021,2,03 07 33 50 69 24,3,7,33,50,69,24
12/6/2021,3,03 21 38 50 59 06,3,21,38,50,59,6
12/4/2021,2,10 40 45 56 67 02,10,40,45,56,67,2
12/1/2021,2,12 15 38 57 63 24,12,15,38,57,63,24
11/29/2021,2,18 26 28 38 47 17,18,26,28,38,47,17
11/27/2021,2,08 32 55 64 66 10,8,32,55,64,66,10
11/24/2021,2,10 16 32 63 65 17,10,16,32,63,65,17
11/22/2021,2,07 20 29 38 67 22,7,20,29,38,67,22
11/20/2021,3,40 43 48 59 69 19,40,43,48,59,69,19
11/17/2021,3,03 16 48 52 60 01,3,16,48,52,60,1
11/15/2021,2,05 31 34 51 53 23,5,31,34,51,53,23
11/13/2021,3,08 15 26 35 45 09,8,15,26,35,45,9
11/10/2021,2,19 25 43 46 48 14,19,25,43,46,48,14
11/8/2021,3,21 46 47 57 62 08,21,46,47,57,62,8
11/6/2021,2,08 30 48 57 64 09,8,30,48,57,64,9
11/3/2021,2,01 02 24 50 57 26,1,2,24,50,57,26
11/1/2021,3,09 25 34 44 45 08,9,25,34,44,45,8
10/30/2021,2,05 23 28 43 56 19,5,23,28,43,56,19
10/27/2021,4,03 06 26 35 51 17,3,6,26,35,51,17
10/25/2021,2,10 27 29 44 58 24,10,27,29,44,58,24
10/23/2021,2,10 30 51 57 63 20,10,30,51,57,63,20
10/20/2021,2,07 29 36 41 43 05,7,29,36,41,43,5
10/18/2021,2,30 32 48 53 63 12,30,32,48,53,63,12
10/16/2021,3,30 31 41 42 48 03,30,31,41,42,48,3
10/13/2021,2,23 29 47 59 60 15,23,29,47,59,60,15
10/11/2021,3,11 20 33 39 65 24,11,20,33,39,65,24
10/9/2021,2,12 17 30 45 62 05,12,17,30,45,62,5
10/6/2021,10,01 17 52 58 64 01,1,17,52,58,64,1
10/4/2021,2,12 22 54 66 69 15,12,22,54,66,69,15
10/2/2021,2,28 38 42 47 52 01,28,38,42,47,52,1
9/29/2021,3,02 07 11 17 32 11,2,7,11,17,32,11
9/27/2021,2,21 22 39 44 60 12,21,22,39,44,60,12
9/25/2021,3,22 23 37 62 63 19,22,23,37,62,63,19
9/22/2021,3,20 40 47 55 63 05,20,40,47,55,63,5
9/20/2021,2,37 51 54 58 60 19,37,51,54,58,60,19
9/18/2021,2,05 36 39 45 57 11,5,36,39,45,57,11
9/15/2021,3,01 04 18 46 62 25,1,4,18,46,62,25
9/13/2021,3,37 40 50 61 63 21,37,40,50,61,63,21
9/11/2021,2,20 31 38 40 49 21,20,31,38,40,49,21
9/8/2021,2,09 22 41 47 61 21,9,22,41,47,61,21
9/6/2021,2,11 20 22 33 54 24,11,20,22,33,54,24
9/4/2021,5,32 35 40 52 54 01,32,35,40,52,54,1
9/1/2021,2,10 20 29 48 51 17,10,20,29,48,51,17
8/30/2021,2,03 15 45 51 61 08,3,15,45,51,61,8
8/28/2021,2,12 22 26 46 59 26,12,22,26,46,59,26
8/25/2021,3,27 39 54 56 59 24,27,39,54,56,59,24
8/23/2021,3,17 36 47 60 61 15,17,36,47,60,61,15
8/21/2021,2,16 28 36 39 59 04,16,28,36,39,59,4
8/18/2021,2,35 36 51 55 61 26,35,36,51,55,61,26
8/14/2021,2,06 21 49 65 67 18,6,21,49,65,67,18
8/11/2021,3,12 18 20 29 30 16,12,18,20,29,30,16
8/7/2021,2,07 24 36 54 60 23,7,24,36,54,60,23
8/4/2021,2,05 21 32 36 58 14,5,21,32,36,58,14
